Month,Sales of shampoo over a three year period
1901年1月,266
1901年2月,145.9
1901年3月,183.1
1901年4月,119.3
1901年5月,180.3
1901年6月,168.5
1901年7月,231.8
1901年8月,224.5
1901年9月,192.8
1901年10月,122.9
1901年11月,336.5
1901年12月,185.9
1902年1月,194.3
1902年2月,149.5
1902年3月,210.1
1902年4月,273.3
1902年5月,191.4
1902年6月,287
1902年7月,226
1902年8月,303.6
1902年9月,289.9
1902年10月,421.6
1902年11月,264.5
1902年12月,342.3
1903年1月,339.7
1903年2月,440.4
1903年3月,315.9
1903年4月,439.3
1903年5月,401.3
1903年6月,437.4
1903年7月,575.5
1903年8月,407.6
1903年9月,682
1903年10月,475.3
1903年11月,581.3
1903年12月,646.9
,
Sales of shampoo over a three year period,
